City_ID,City,Country,Max Temp,Weather Condition,Lat,Lng,Hotel Name
252,Manikganj,BD,78.78,moderate rain,23.8553,90.0125,Girls Hostel- Govt Debendra College
258,Wanning,CN,78.48,broken clouds,18.8003,110.3967,Paradise Hotel
266,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
279,Maraa,BR,76.48,broken clouds,-1.8333,-65.3667,
283,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
287,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
298,Progreso,MX,75.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
315,Muisne,EC,75.2,broken clouds,0.6,-80.0333,Quinta Samay
316,Cabo San Lucas,MX,80.06,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
322,Kalmunai,LK,80.26,overcast clouds,7.4167,81.8167,VS Villa
328,Sibolga,ID,83.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
332,Buenos Aires,AR,75.97,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
341,Sinnamary,GF,79.2,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
343,Kannangad,IN,78.1,overcast clouds,12.3081,75.1063,Hotel Landmark
349,Mogadishu,SO,78.22,clear sky,2.0371,45.3438,Hotel Juba
364,Abeche,TD,76.57,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
367,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
370,Balikpapan,ID,76.19,heavy intensity rain,-1.2675,116.8289,ibis Balikpapan
376,Auki,SB,87.69,overcast clouds,-8.7676,160.7034,Auki Motel
379,Sur,OM,76.95,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
383,Robertsport,LR,76.6,moderate rain,6.7533,-11.3686,Kwepunha Retreat
388,Aflao,TG,82.53,light rain,6.116,1.1914,Hotel LeBenin
389,Novo Aripuana,BR,76.96,scattered clouds,-5.1206,-60.3797,POUSADA Flexy
390,Labuhan,ID,86.43,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
396,Iracoubo,GF,79.59,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
398,Papara,BR,79.68,scattered clouds,-3.9839,-38.7273,Romin
404,Champerico,GT,83.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
405,Bagotville,AU,84.22,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
409,Batticaloa,LK,80.69,overcast clouds,7.7102,81.6924,Grand Star Guest House
411,Khorramshahr,IR,78.76,mist,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
421,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
424,Kudahuvadhoo,MV,82.42,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
430,San Juan,AR,80.82,broken clouds,-31.5375,-68.5364,Hotel Provincial
440,Moron,AR,75.99,clear sky,-34.6534,-58.6198,Hotel Morón
441,Barstow,US,79.79,few clouds,34.8986,-117.0228,"Motel 6 Barstow, CA"
444,Tabuk,PH,80.1,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
445,Palauig,PH,84.81,overcast clouds,15.435,119.9045,Alperi Botique Resort
446,Dulce Nombre De Culmi,HN,82.63,light rain,15.1,-85.5333,Hotel Posada Real
452,Sal Rei,CV,77.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
458,Ewa Beach,US,86.02,few clouds,21.3156,-158.0072,Uncle Junior Robert
461,Kloulklubed,PW,85.37,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
463,Santa Cruz Del Norte,CU,77.74,broken clouds,23.1539,-81.9236,Felipon Pon Pon
467,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
471,Bubaque,GW,82.51,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
482,Diamantino,BR,76.6,overcast clouds,-14.4086,-56.4461,Hotel Delta
491,Cuddapah,IN,76.89,overcast clouds,14.4667,78.8167,State guest house
495,Kerema,PG,83.5,overcast clouds,-7.9631,145.7785,Frena Lodge
496,Moussoro,TD,81.63,overcast clouds,13.6408,16.4901,Hôtel Salama
497,Sagaing,MM,78.98,scattered clouds,21.8787,95.9797,Makara Cruise
498,Lorengau,PG,83.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
499,Da Nang,VN,78.78,broken clouds,16.0678,108.2208,Sun River Hotel
502,Bahia Blanca,AR,80.28,broken clouds,-38.7196,-62.2724,Hotel Argos
505,San Matias,BO,76.01,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
506,Aloleng,PH,84.22,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
509,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
515,Hobyo,SO,80.28,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
524,La Reforma,MX,82.69,clear sky,25.0833,-108.05,Hotel Reforma
526,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
527,San Policarpo,PH,83.21,few clouds,12.1791,125.5072,Agapita M. Nicart
532,Wewak,PG,85.89,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
541,Tutoia,BR,77.5,broken clouds,-2.7619,-42.2744,Pousada Guará's
542,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
550,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
553,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
555,Bontang,ID,79.5,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
557,Tirumullaivasal,IN,81.12,overcast clouds,11.2333,79.8333,Almupaark complex
563,Carupano,VE,76.78,broken clouds,10.6678,-63.2585,Hotel La dorada
564,Lethem,GY,80.64,broken clouds,3.3803,-59.7968,Savannah Inn
574,Bambanglipuro,ID,83.05,light rain,-7.95,110.2833,Puri Brata
581,Les Cayes,HT,77.72,few clouds,18.2,-73.75,Villa Orphee
582,Lahaina,US,84.2,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
584,Pringsewu,ID,84.0,broken clouds,-5.3582,104.9744,Urban Style by Front One
588,Sola,VU,82.18,broken clouds,-13.8833,167.55,Leumerus Bungalows
591,Vanimo,PG,87.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
593,Bonoua,CI,80.22,light rain,5.2741,-3.595,Hotel Bon Samaritian
