,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Condition
347,Hrinova,48.5779,19.5257,43.61,53,3,3.67,SK,clear sky
348,Crib Point,-38.35,145.2,61.86,68,82,18.48,AU,broken clouds
349,Mogadishu,2.0371,45.3438,78.22,79,10,7.85,SO,clear sky
350,La Asuncion,11.0333,-63.8628,89.33,62,54,12.66,VE,broken clouds
351,Colborne,44.0001,-77.8828,49.71,80,100,15.95,CA,overcast clouds
352,Rundu,-17.9333,19.7667,73.27,64,98,4.38,NA,overcast clouds
353,Kongolo,-5.3833,27.0,68.07,97,95,2.08,CD,overcast clouds
354,Krasnoselkup,65.7,82.4667,15.69,94,100,8.77,RU,overcast clouds
355,Salisbury,51.0693,-1.7957,56.52,87,20,13.8,GB,few clouds
356,Honningsvag,70.9821,25.9704,42.31,72,93,29.95,NO,light rain
357,Rudnyy,52.9594,63.1206,14.23,57,67,3.27,KZ,broken clouds
358,Yishui,35.7847,118.6281,63.25,60,0,5.61,CN,clear sky
359,Tiznit,29.5833,-9.5,60.51,72,63,1.86,MA,broken clouds
360,Mattawa,46.7379,-119.9028,53.85,54,0,23.0,US,clear sky
361,Dauphin,51.1494,-100.0502,44.74,70,90,9.22,CA,heavy intensity rain
362,Kjollefjord,70.9457,27.3465,40.41,80,90,28.19,NO,overcast clouds
363,Mitu,1.1983,-70.1733,71.13,98,18,1.41,CO,few clouds
364,Abeche,13.8292,20.8324,76.57,20,99,9.53,TD,overcast clouds
365,Komsomolskiy,40.4272,71.7189,42.22,81,0,2.3,UZ,mist
366,Arman,59.7,150.1667,26.89,54,1,6.02,RU,clear sky
367,Oranjestad,12.524,-70.027,82.35,83,20,12.66,AW,few clouds
368,Yeppoon,-23.1333,150.7333,89.38,57,11,14.32,AU,few clouds
369,Suntar,62.1444,117.6319,16.63,79,77,4.05,RU,broken clouds
370,Balikpapan,-1.2675,116.8289,76.19,94,40,0.0,ID,heavy intensity rain
371,Mantes-La-Ville,48.9737,1.7025,56.25,92,100,11.07,FR,overcast clouds
372,Son La,21.3167,103.9,68.52,94,96,3.0,VN,overcast clouds
373,Mount Gambier,-37.8333,140.7667,57.11,54,75,12.66,AU,broken clouds
374,Kahramanmaras,38.0,37.0,41.63,92,6,1.72,TR,clear sky
375,Shchigry,51.8755,36.9043,30.02,91,23,6.78,RU,few clouds
376,Auki,-8.7676,160.7034,87.69,62,100,4.32,SB,overcast clouds
377,Vilhena,-12.7406,-60.1458,69.6,88,100,3.56,BR,overcast clouds
378,Ponta Delgada,37.7333,-25.6667,73.51,88,75,21.85,PT,broken clouds
379,Sur,22.5667,59.5289,76.95,49,26,3.42,OM,scattered clouds
380,Grand Forks,47.9417,-97.4337,48.13,69,1,11.5,US,clear sky
381,Khakhea,-24.6895,23.494,66.69,78,0,5.99,BW,clear sky
382,Vallenar,-28.5708,-70.7581,67.05,55,0,1.97,CL,clear sky
383,Robertsport,6.7533,-11.3686,76.6,89,100,6.04,LR,moderate rain
384,Mercedes,-34.6515,-59.4307,74.17,76,5,9.8,AR,clear sky
385,Fuente De Oro,3.4594,-73.6128,71.85,95,81,2.08,CO,broken clouds
386,Mosquera,4.7059,-74.2302,57.29,82,40,8.05,CO,moderate rain
387,Beroroha,-21.6667,45.1667,65.71,64,5,4.68,MG,clear sky
388,Aflao,6.116,1.1914,82.53,83,40,8.05,TG,light rain
389,Novo Aripuana,-5.1206,-60.3797,76.96,81,42,2.59,BR,scattered clouds
390,Labuhan,-6.8844,112.2051,86.43,66,89,4.25,ID,overcast clouds
391,Kenai,60.5544,-151.2583,34.03,93,90,16.11,US,light snow
392,Chitral,35.8462,71.7858,48.51,41,0,6.98,PK,clear sky
393,Tukan,53.8409,57.4552,24.91,72,100,3.91,RU,light snow
394,Vanavara,60.34,102.2797,30.61,73,100,8.9,RU,overcast clouds
395,Lata,40.1629,-8.3327,68.04,97,100,10.54,PT,moderate rain
396,Iracoubo,5.4802,-53.2011,79.59,81,7,9.31,GF,clear sky
397,Rocha,-34.4833,-54.3333,61.68,97,8,11.1,UY,clear sky
398,Papara,-3.9839,-38.7273,79.68,85,45,4.14,BR,scattered clouds
399,Chapais,49.7834,-74.8492,40.78,71,100,3.42,CA,overcast clouds
400,Asfi,32.2994,-9.2372,63.73,78,92,3.42,MA,overcast clouds
401,Palana,59.1167,159.9667,32.34,93,100,21.92,RU,light snow
402,Narsaq,60.9167,-46.05,26.82,80,69,3.2,GL,broken clouds
403,Koslan,63.4564,48.8989,31.48,97,100,6.71,RU,overcast clouds
404,Champerico,14.3,-91.9167,83.35,75,13,4.38,GT,few clouds
405,Bagotville,-28.9833,153.4167,84.22,56,27,10.33,AU,scattered clouds
406,La Peca,-5.6111,-78.435,67.78,87,59,3.56,PE,broken clouds
407,Boma,7.0805,-2.1697,70.88,99,71,2.37,GH,broken clouds
408,Kemin,42.7846,75.6892,36.09,76,13,5.79,KG,few clouds
409,Batticaloa,7.7102,81.6924,80.69,80,94,3.31,LK,overcast clouds
410,Zhezkazgan,47.8043,67.7144,39.87,59,100,7.72,KZ,overcast clouds
411,Khorramshahr,30.4397,48.1664,78.76,89,20,4.61,IR,mist
412,Purranque,-40.9167,-73.1667,51.13,88,89,6.17,CL,overcast clouds
413,Karpogory,64.0019,44.4451,37.36,100,100,8.59,RU,overcast clouds
414,Nyakabindi,-2.6333,33.9833,72.14,54,86,5.5,TZ,overcast clouds
415,Sorland,67.667,12.6934,46.08,77,100,23.69,NO,overcast clouds
416,Kwinana,-32.25,115.7667,70.18,42,0,2.8,AU,clear sky
417,Ilebo,-4.3167,20.5833,69.46,93,100,1.97,CD,overcast clouds
418,Svetlogorsk,52.6333,29.7333,43.92,92,14,8.03,BY,few clouds
419,Susono,35.2184,138.8817,63.32,53,4,4.45,JP,clear sky
420,Gewane,10.1664,40.6453,73.18,37,3,1.95,ET,clear sky
421,Natal,-5.795,-35.2094,77.65,88,40,13.8,BR,scattered clouds
422,Coquimbo,-29.9533,-71.3436,55.13,87,0,8.05,CL,clear sky
423,Roma,43.2128,-75.4557,52.38,59,100,7.0,US,overcast clouds
424,Kudahuvadhoo,2.6708,72.8944,82.42,75,98,11.07,MV,overcast clouds
425,Griffith,41.5284,-87.4237,55.4,96,90,1.01,US,overcast clouds
426,Jinchang,38.4953,102.1739,48.38,28,6,2.73,CN,clear sky
427,Plock,52.5468,19.7064,44.56,58,34,7.65,PL,scattered clouds
428,Llaillay,-32.85,-70.9667,72.72,58,0,1.45,CL,clear sky
429,Sabha,27.0377,14.4283,67.62,33,100,6.69,LY,overcast clouds
430,San Juan,-31.5375,-68.5364,80.82,33,73,5.75,AR,broken clouds
431,Normandin,48.8333,-72.5321,38.82,93,69,2.3,CA,broken clouds
432,Kifri,34.6959,44.9661,69.51,50,45,9.51,IQ,scattered clouds
433,Paamiut,61.994,-49.6678,30.69,80,98,5.82,GL,overcast clouds
434,Tahe,52.3333,124.7333,28.8,34,6,7.94,CN,clear sky
435,Matagami,49.7502,-77.6328,32.11,93,1,3.44,CA,clear sky
436,Cidreira,-30.1811,-50.2056,68.09,89,99,21.59,BR,overcast clouds
437,Novyy Urengoy,66.0833,76.6333,6.1,99,90,5.21,RU,overcast clouds
438,Abalak,58.1286,68.5944,20.32,78,37,9.48,RU,scattered clouds
439,Bowen,-20.0167,148.2333,89.82,67,4,9.26,AU,clear sky
440,Moron,-34.6534,-58.6198,75.99,77,10,10.0,AR,clear sky
441,Barstow,34.8986,-117.0228,79.79,26,11,1.81,US,few clouds
442,Maloy,61.9353,5.1136,55.13,72,100,16.24,NO,overcast clouds
443,Ondjiva,-17.0667,15.7333,68.38,70,33,4.0,AO,light rain
444,Tabuk,17.4189,121.4443,80.1,72,39,2.71,PH,scattered clouds
445,Palauig,15.435,119.9045,84.81,59,100,2.73,PH,overcast clouds
446,Dulce Nombre De Culmi,15.1,-85.5333,82.63,96,83,3.65,HN,light rain
447,Kushmurun,52.4503,64.6311,31.82,54,93,3.4,KZ,overcast clouds
448,Irun,43.339,-1.7894,66.11,69,0,11.5,ES,clear sky
449,Penzance,50.1186,-5.5371,54.28,85,100,16.28,GB,overcast clouds
450,Maxixe,-23.8597,35.3472,66.78,76,11,7.49,MZ,few clouds
451,Mao,39.8885,4.2658,68.56,73,75,14.97,ES,broken clouds
452,Sal Rei,16.1833,-22.9167,77.56,80,100,14.34,CV,overcast clouds
453,Zharkent,44.1628,80.0,43.3,91,100,3.78,KZ,light rain
454,Avera,33.194,-82.5271,57.07,75,66,6.73,US,broken clouds
455,Najran,17.4924,44.1277,61.45,36,0,2.53,SA,clear sky
456,Saint Anthony,45.0205,-93.218,49.93,81,1,0.0,US,clear sky
457,Chambery,45.5667,5.9333,54.9,87,0,2.3,FR,clear sky
458,Ewa Beach,21.3156,-158.0072,86.02,55,20,10.0,US,few clouds
459,Bafq,31.6128,55.4107,59.47,27,0,0.54,IR,clear sky
460,Walvis Bay,-22.9575,14.5053,57.09,100,0,10.36,NA,clear sky
461,Kloulklubed,7.0419,134.2556,85.37,75,100,15.17,PW,overcast clouds
462,Sobolevo,54.4299,31.8996,44.89,95,78,9.42,RU,broken clouds
463,Santa Cruz Del Norte,23.1539,-81.9236,77.74,67,78,13.65,CU,broken clouds
464,Pimenta Bueno,-11.6725,-61.1936,73.65,92,22,2.15,BR,few clouds
465,Geghamasar,40.3109,45.6792,35.4,97,100,6.91,AM,overcast clouds
466,Half Moon Bay,37.4636,-122.4286,73.31,84,90,3.0,US,fog
467,Galesong,-5.3166,119.3661,86.02,70,92,3.42,ID,overcast clouds
468,Zaltan,32.947,11.8665,66.96,65,1,10.13,LY,clear sky
469,Strezhevoy,60.7333,77.5889,19.38,88,100,17.43,RU,overcast clouds
470,Nelson Bay,-32.7167,152.15,67.1,63,100,4.0,AU,overcast clouds
471,Bubaque,11.2833,-15.8333,82.51,72,100,10.36,GW,light rain
472,Nicoya,10.1483,-85.452,72.95,94,100,2.33,CR,overcast clouds
473,Arvika,59.6553,12.5852,48.9,97,95,4.14,SE,overcast clouds
474,Smithers,54.7804,-127.1743,34.12,80,40,2.3,CA,scattered clouds
475,Vila,42.0304,-8.1588,54.73,93,100,8.46,PT,overcast clouds
476,Lere,10.387,8.5726,68.49,30,100,2.75,NG,overcast clouds
477,Manitouwadge,49.1215,-85.8403,45.32,84,91,6.35,CA,overcast clouds
478,Along,28.1667,94.7667,68.68,53,3,0.94,IN,clear sky
479,Izhma,65.0083,53.9113,23.56,96,100,6.96,RU,snow
480,Zhigansk,66.7697,123.3711,-8.09,100,99,3.53,RU,overcast clouds
481,Sagvag,59.7786,5.3961,55.44,83,100,33.17,NO,overcast clouds
482,Diamantino,-14.4086,-56.4461,76.6,73,97,1.72,BR,overcast clouds
483,Neryungri,56.6709,124.6491,16.07,71,12,4.41,RU,few clouds
484,Treinta Y Tres,-33.2333,-54.3833,62.2,92,0,13.11,UY,clear sky
485,Saint-Francois,46.4154,3.9054,60.24,66,0,17.27,FR,clear sky
486,Staunton,38.1496,-79.0717,56.95,78,90,1.01,US,overcast clouds
487,Puerto Penasco,31.3167,-113.5333,74.91,73,0,6.11,MX,clear sky
488,Aginskoye,51.1,114.53,29.07,32,0,4.54,RU,clear sky
489,Rio Gallegos,-51.6226,-69.2181,44.65,45,0,13.8,AR,clear sky
490,Delaware,39.0004,-75.4999,66.18,99,40,1.01,US,scattered clouds
491,Cuddapah,14.4667,78.8167,76.89,83,100,1.57,IN,overcast clouds
492,Kijang,35.2442,129.2139,58.73,58,100,6.11,KR,moderate rain
493,Walla Walla,46.0646,-118.343,56.08,80,75,3.0,US,broken clouds
494,Tabory,58.5198,64.5495,20.98,77,91,7.81,RU,overcast clouds
495,Kerema,-7.9631,145.7785,83.5,75,97,6.91,PG,overcast clouds
496,Moussoro,13.6408,16.4901,81.63,13,100,9.71,TD,overcast clouds
497,Sagaing,21.8787,95.9797,78.98,94,40,2.3,MM,scattered clouds
498,Lorengau,-2.0226,147.2712,83.91,74,95,5.35,PG,overcast clouds
499,Da Nang,16.0678,108.2208,78.78,89,75,1.14,VN,broken clouds
500,Matay,28.419,30.7792,73.67,60,100,6.42,EG,overcast clouds
501,Rafai,4.95,23.9167,69.6,97,100,1.07,CF,overcast clouds
502,Bahia Blanca,-38.7196,-62.2724,80.28,32,59,15.57,AR,broken clouds
503,Bayir,37.2687,28.2167,43.32,65,0,1.97,TR,clear sky
504,Denizli,37.8402,29.0698,49.05,59,1,2.13,TR,clear sky
505,San Matias,-16.3667,-58.4,76.01,80,100,2.64,BO,overcast clouds
506,Aloleng,16.1307,119.7824,84.22,61,99,6.13,PH,overcast clouds
507,Praia Da Vitoria,38.7333,-27.0667,71.85,88,40,16.06,PT,scattered clouds
508,Roald,62.5833,6.1333,57.34,54,90,11.5,NO,overcast clouds
509,Alice Springs,-23.7,133.8833,76.55,20,98,17.27,AU,overcast clouds
510,Makokou,0.5738,12.8642,68.58,99,99,1.12,GA,overcast clouds
511,Ostrovnoy,68.0531,39.5131,36.52,86,100,18.28,RU,overcast clouds
512,Sambava,-14.2667,50.1667,73.09,89,100,8.16,MG,overcast clouds
513,Novobirilyussy,56.9514,90.6661,36.64,66,100,15.17,RU,overcast clouds
514,Guerrero Negro,27.9769,-114.0611,68.65,72,0,9.62,MX,clear sky
515,Hobyo,5.3505,48.5268,80.28,71,65,8.52,SO,broken clouds
516,Sakaiminato,35.55,133.2333,58.98,72,75,1.14,JP,broken clouds
517,Iqaluit,63.7506,-68.5145,38.93,64,75,11.01,CA,broken clouds
518,Igbo Ora,7.4333,3.2833,74.3,95,98,3.76,NG,overcast clouds
519,Jinka,5.65,36.65,62.26,72,32,3.29,ET,scattered clouds
520,Abatskoye,56.2875,70.4555,22.64,73,12,10.76,RU,few clouds
521,Mandalgovi,45.7625,106.2708,29.62,80,23,5.28,MN,few clouds
522,Verkhnevilyuysk,63.4453,120.3167,9.34,81,12,3.6,RU,few clouds
523,Hereford,52.0568,-2.7148,53.91,66,100,1.01,GB,overcast clouds
524,La Reforma,25.0833,-108.05,82.69,69,0,3.42,MX,clear sky
525,San Quintin,30.4833,-115.95,65.43,80,0,4.81,MX,clear sky
526,Neuquen,-38.9516,-68.0591,78.69,24,0,93.21,AR,clear sky
527,San Policarpo,12.1791,125.5072,83.21,77,15,13.65,PH,few clouds
528,Menongue,-14.6585,17.691,64.72,88,96,2.64,AO,light rain
529,Mezhdurechensk,53.6942,88.0603,39.72,76,100,7.43,RU,overcast clouds
530,Capim Grosso,-11.3811,-40.0128,69.13,70,13,7.45,BR,few clouds
531,Bundaberg,-24.85,152.35,89.22,63,40,8.99,AU,scattered clouds
532,Wewak,-3.5534,143.6268,85.89,70,69,6.85,PG,broken clouds
533,Rudnaya Pristan,44.3614,135.8116,52.54,43,100,4.32,RU,overcast clouds
534,Mananara,-16.1667,49.7667,70.93,86,95,4.61,MG,overcast clouds
535,Mitchell,43.7094,-98.0298,49.1,58,1,5.01,US,clear sky
536,Marietta,33.9526,-84.5499,51.48,95,90,6.91,US,mist
537,Hovd,48.0056,91.6419,34.32,43,6,5.26,MN,clear sky
538,Puerto Montt,-41.4698,-72.9447,49.03,93,75,6.91,CL,broken clouds
539,Portland,45.5234,-122.6762,53.55,81,20,1.01,US,few clouds
540,Meylan,45.2199,5.7901,64.53,62,100,5.28,FR,overcast clouds
541,Tutoia,-2.7619,-42.2744,77.5,86,60,6.85,BR,broken clouds
542,Morant Bay,17.8815,-76.4093,83.82,86,42,6.67,JM,scattered clouds
543,Hermiston,45.8404,-119.2895,56.28,70,20,6.91,US,few clouds
544,Ucluelet,48.9329,-125.5528,46.71,81,4,5.08,CA,clear sky
545,Gandorhun,7.5,-11.8333,73.0,98,100,0.38,SL,moderate rain
546,Boralday,43.3578,76.8594,40.86,93,75,0.0,KZ,mist
547,Uvalde,29.3669,-99.767,63.19,39,1,0.0,US,clear sky
548,Fairbanks,64.8378,-147.7164,19.74,90,90,4.61,US,overcast clouds
549,Solyanka,46.3889,48.0176,46.35,81,75,4.47,RU,broken clouds
550,Geraldton,-28.7667,114.6,77.41,25,0,10.36,AU,clear sky
551,Yeniseysk,58.4497,92.1703,35.96,72,100,11.52,RU,overcast clouds
552,Nishiwaki,34.9833,134.9667,65.05,49,27,2.37,JP,scattered clouds
553,Padang,-0.9492,100.3543,80.65,75,74,1.88,ID,broken clouds
554,Uyuni,-20.4597,-66.825,49.66,22,0,1.43,BO,clear sky
555,Bontang,0.1333,117.5,79.5,85,100,5.26,ID,heavy intensity rain
556,Talnakh,69.4865,88.3972,18.18,95,100,8.7,RU,light snow
557,Tirumullaivasal,11.2333,79.8333,81.12,81,100,10.09,IN,overcast clouds
558,Atamanovka,51.93,113.63,18.03,37,0,1.83,RU,clear sky
559,Puerto Boyaca,5.9758,-74.5885,73.04,96,100,1.03,CO,overcast clouds
560,Bellefontaine,40.3612,-83.7597,54.52,100,75,6.91,US,broken clouds
561,Uyemskiy,64.4743,40.8524,37.45,100,90,11.18,RU,light intensity shower rain
562,Anchorage,61.2181,-149.9003,35.67,82,90,3.0,US,shower rain
563,Carupano,10.6678,-63.2585,76.78,90,64,7.2,VE,broken clouds
564,Lethem,3.3803,-59.7968,80.64,65,67,2.86,GY,broken clouds
565,Albertville,34.2676,-86.2089,53.47,85,90,4.61,US,overcast clouds
566,Vestmannaeyjar,63.4427,-20.2734,45.72,83,87,14.03,IS,overcast clouds
567,Gandu,-13.7439,-39.4867,66.58,99,32,2.06,BR,scattered clouds
568,Pyrzyce,53.1462,14.8926,47.17,68,67,8.66,PL,broken clouds
569,Pascagoula,30.3658,-88.5561,59.05,73,90,5.75,US,overcast clouds
570,Fort Nelson,58.8053,-122.7002,29.79,69,1,2.3,CA,clear sky
571,Cooma,-36.2333,149.1333,51.57,50,16,9.22,AU,few clouds
572,La Sarre,48.8002,-79.1996,40.06,77,100,4.43,CA,overcast clouds
573,Hirado,33.3597,129.5531,63.75,52,100,3.11,JP,overcast clouds
574,Bambanglipuro,-7.95,110.2833,83.05,74,100,7.94,ID,light rain
575,Severnyy,50.677,36.5532,39.24,87,10,6.71,RU,clear sky
576,Bud,39.447,-86.1758,55.81,96,100,10.58,US,moderate rain
577,Mashhad,36.297,59.6062,42.94,65,0,0.0,IR,clear sky
578,Peniche,39.3558,-9.3811,70.61,94,100,24.7,PT,light rain
579,Ardakan,32.31,54.0175,55.78,34,8,3.6,IR,clear sky
580,Owensboro,37.7742,-87.1133,58.01,88,90,9.22,US,overcast clouds
581,Les Cayes,18.2,-73.75,77.72,83,16,3.04,HT,few clouds
582,Lahaina,20.8783,-156.6825,84.2,77,57,4.97,US,broken clouds
583,Bac,45.3919,19.2367,32.0,66,0,7.2,RS,clear sky
584,Pringsewu,-5.3582,104.9744,84.0,73,78,2.62,ID,broken clouds
585,Burtunay,42.9886,46.6303,36.72,90,92,2.28,RU,overcast clouds
586,Farmington,36.7281,-108.2187,60.19,42,1,4.61,US,clear sky
587,Gidam,18.9833,81.4,72.5,83,100,3.11,IN,overcast clouds
588,Sola,-13.8833,167.55,82.18,69,61,14.34,VU,broken clouds
589,Panzhihua,26.5851,101.7128,61.36,86,100,0.56,CN,overcast clouds
590,Zamora,-4.0692,-78.9567,66.69,96,99,1.95,EC,overcast clouds
591,Vanimo,-2.6741,141.3028,87.06,66,100,6.67,PG,overcast clouds
592,Semey,50.4111,80.2275,28.62,86,0,8.95,KZ,clear sky
593,Bonoua,5.2741,-3.595,80.22,91,100,5.97,CI,light rain
594,Raahe,64.6833,24.4833,48.0,95,99,10.6,FI,overcast clouds
595,Lashio,22.9333,97.75,68.56,92,30,0.65,MM,scattered clouds
596,Belaya Gora,68.5333,146.4167,6.35,93,100,6.51,RU,overcast clouds
597,Raudeberg,61.9875,5.1352,54.27,72,100,16.69,NO,overcast clouds
598,Qasigiannguit,68.8193,-51.1922,25.05,92,100,5.88,GL,overcast clouds
599,Marsh Harbour,26.5412,-77.0636,79.0,82,92,14.09,BS,overcast clouds
600,Ola,59.5833,151.2833,29.03,70,18,3.65,RU,few clouds
601,Lubango,-14.9172,13.4925,63.16,56,100,1.14,AO,overcast clouds
602,Santiago,-33.4569,-70.6483,74.86,37,0,9.22,CL,clear sky
603,Miles City,46.4083,-105.8406,59.97,47,1,6.91,US,clear sky
604,Bereda,43.2686,-7.5406,56.14,83,100,3.22,ES,overcast clouds
605,Grand-Bourg,15.8835,-61.3148,75.15,68,3,10.85,GP,clear sky
606,Castanos,26.7833,-101.4167,63.77,32,0,2.01,MX,clear sky
607,Luang Prabang,19.8856,102.1347,75.16,73,90,2.3,LA,mist
608,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,57,0,6.71,RU,clear sky
609,Kirakira,-10.4544,161.9205,87.17,67,47,14.18,SB,scattered clouds
610,Mackenzie,55.2999,-123.1698,28.62,69,1,0.0,CA,clear sky
611,Benghazi,32.1167,20.0667,70.07,70,4,11.16,LY,clear sky
612,Krasnogvardeyskoye,45.8456,41.5186,41.47,92,0,7.65,RU,clear sky
613,Las Palmas,28.4204,-14.0131,63.39,77,0,6.91,ES,clear sky
614,Ivanovka,42.8878,75.085,34.23,68,2,4.12,KG,clear sky
615,Niquero,20.0431,-77.5828,80.26,83,53,11.88,CU,broken clouds
616,Hay River,60.8156,-115.7999,33.78,93,90,12.66,CA,light snow
617,Honiara,-9.4333,159.95,87.98,68,52,10.11,SB,light rain
618,Rapid Valley,44.0625,-103.1463,66.04,46,1,1.01,US,smoke
619,Lima,-12.0432,-77.0282,63.9,80,75,13.8,PE,broken clouds
620,Baykit,61.67,96.37,26.47,96,100,4.97,RU,overcast clouds
621,Mozhga,56.4447,52.2276,31.23,93,100,13.91,RU,light snow
622,Jalu,29.0331,21.5482,66.58,74,0,8.59,LY,clear sky
623,Klyuchi,52.2667,79.1667,38.1,56,100,12.19,RU,overcast clouds
624,Edgewater,28.9889,-80.9023,69.82,94,40,5.75,US,scattered clouds
625,Caraballeda,10.6112,-66.8522,79.38,89,84,4.61,VE,broken clouds
626,Ures,29.4333,-110.4,79.09,22,0,3.91,MX,clear sky
627,Jacareacanga,-6.2222,-57.7528,72.25,97,89,2.28,BR,overcast clouds
628,Borogontsy,62.6683,131.1683,10.24,88,98,8.01,RU,overcast clouds
629,Muros,42.7762,-9.0603,60.24,95,100,7.25,ES,overcast clouds
630,Ekhabi,53.5102,142.9671,39.92,81,90,13.85,RU,overcast clouds
631,Hinche,19.15,-72.0167,80.02,81,25,0.92,HT,scattered clouds
632,Luganville,-15.5333,167.1667,84.43,68,23,10.22,VU,few clouds
633,Verkhoyansk,67.5447,133.385,9.88,94,97,3.22,RU,overcast clouds
634,Kerman,30.2832,57.0788,42.66,36,0,4.61,IR,clear sky
635,Shenjiamen,29.9576,122.298,66.61,67,41,12.84,CN,scattered clouds
636,Elizabethton,36.3487,-82.2107,54.16,73,90,0.0,US,mist
637,Gravdal,68.1214,13.5031,44.28,79,100,13.98,NO,light rain
638,Camacha,33.0833,-16.3333,67.42,83,20,12.66,PT,few clouds
639,Kulhudhuffushi,6.6221,73.07,81.61,70,100,6.89,MV,overcast clouds
640,Mount Isa,-20.7333,139.5,74.97,41,40,5.75,AU,scattered clouds
641,Mayo,38.8876,-76.5119,61.41,94,90,4.0,US,overcast clouds
642,Barcelos,41.5388,-8.6151,63.28,94,100,5.84,PT,overcast clouds
643,Quartucciu,39.2519,9.1794,56.01,88,0,4.61,IT,clear sky
644,Beterou,9.1992,2.2586,75.45,79,81,3.76,BJ,broken clouds
645,Buritis,-15.6178,-46.4233,77.7,53,58,2.13,BR,broken clouds
646,Tiarei,-17.5333,-149.3333,82.42,72,14,14.2,PF,few clouds
647,Korla,41.7597,86.1469,51.19,36,100,5.53,CN,overcast clouds
648,Arkadak,51.9326,43.4978,37.22,90,12,7.38,RU,few clouds
649,Kashan,33.9831,51.4364,57.22,53,100,4.88,IR,overcast clouds
650,Flin Flon,54.7682,-101.865,36.79,68,98,4.85,CA,overcast clouds
651,Port Blair,11.6667,92.75,78.84,89,75,0.0,IN,broken clouds
652,Saint-Georges,12.0564,-61.7485,78.48,83,20,8.05,GD,few clouds
653,Sangar,63.9242,127.4739,-0.49,99,100,3.62,RU,overcast clouds
654,Hongjiang,27.11,109.9956,63.5,81,65,1.68,CN,broken clouds
655,Nalut,30.3333,10.85,64.9,43,0,5.03,LY,clear sky
656,Padrauna,26.9025,83.9819,69.96,77,1,4.85,IN,clear sky
657,Kant,27.8,79.8,68.11,67,0,4.03,IN,clear sky
658,Sokoni,-6.4333,39.55,78.98,77,63,7.96,TZ,broken clouds
659,Batemans Bay,-35.7167,150.1833,66.99,36,72,9.13,AU,broken clouds
660,Bundi,25.4417,75.6417,68.14,48,1,1.83,IN,clear sky
661,Tortoli,39.9256,9.6572,57.02,77,40,8.05,IT,scattered clouds
662,Ivdel,60.6911,60.4206,22.24,76,100,5.86,RU,overcast clouds
663,Kavaratti,10.5669,72.642,81.93,72,100,4.43,IN,overcast clouds
664,Seara,41.1818,-7.8003,58.95,90,100,9.98,PT,overcast clouds
665,Pacifica,37.6138,-122.4869,73.13,88,40,1.01,US,fog
666,Tonstad,58.6626,6.7169,52.36,93,100,9.98,NO,overcast clouds
667,Tautira,-17.7333,-149.15,82.42,75,59,13.06,PF,broken clouds
668,Mtwara,-10.2667,40.1833,72.66,83,82,5.64,TZ,broken clouds
669,Lucapa,-8.4192,20.7447,65.57,97,100,1.83,AO,overcast clouds
670,Mutoko,-17.397,32.2268,57.2,67,10,0.4,ZW,clear sky
671,Pangai,-19.8,-174.35,80.71,61,75,17.27,TO,broken clouds
672,Digha,21.6833,87.55,76.12,79,6,9.71,IN,clear sky
673,Xingyi,24.1877,102.817,58.69,93,100,3.2,CN,light rain
674,Foki,56.693,54.3499,27.79,81,100,12.64,RU,snow
675,Goderich,43.7501,-81.7165,50.92,81,100,10.36,CA,overcast clouds
676,Prince Rupert,54.3161,-130.3201,44.29,76,46,11.5,CA,scattered clouds
677,Pakxan,18.3778,103.6601,80.13,69,44,3.27,LA,scattered clouds
678,Nyimba,-14.5566,30.8149,65.08,52,50,3.98,ZM,scattered clouds
679,Lasa,46.6166,10.7002,43.68,48,75,4.7,IT,broken clouds
680,Ferme-Neuve,46.7001,-75.4493,40.78,74,32,3.8,CA,scattered clouds
681,Binabalian,16.4202,119.9279,81.57,71,100,8.59,PH,overcast clouds
682,Talavera De La Reina,39.9635,-4.8308,63.82,87,100,28.52,ES,light rain
683,Turbat,26.0023,63.044,76.95,22,0,10.51,PK,clear sky
684,Elverum,60.8819,11.5623,49.59,94,100,6.55,NO,overcast clouds
685,Nishihara,26.1842,127.7558,78.46,61,75,5.75,JP,broken clouds
686,Belozerskoye,55.8214,65.5842,23.74,66,100,8.3,RU,overcast clouds
